N° de ligne,Code Commande,Conforme RoHS ?,Remarques,Qté :,Référence du fabricant,Fabricant / Description,Disponibilité,Prix unitaire,Prix,Prix avec remise
1,2433085,YES,,3.0,"HTS221","Précision %:6%; Gamme d'humidité:0% à 100% d'humidité relative; Tension, alimentation:3.6V; Type de boîtier de capteur CI:HLGA; Nombre de broches:6; Temps de réponse:10s; Température d'u",215,4.4700,13.41,,
2,2453258,YES,,5.0,"MB8S","FAIRCHILD SEMICONDUCTOR-MB8S-BRIDGE RECTIFIER, 1PH, 0.5A, 800V, SOIC4",7558,0.5750,2.88,,
3,1903054,YES,,3.0,"RAC01-3.3SC","Type de sortie d'alimentation:Fixe; Tension d'entrée AC Min:80V; Tension d'entée AC Max:264V; Tension de sortie Nom.:3.3V; Courant, sortie max.:300mA; Puissance, sortie max..:1W; Profondeur:3",12,11.3900,34.17,,
4,1201422,YES,,10.0,"KSR231G LFS","C & K COMPONENTS-KSR231G LFS-TACTILE COMMUTATEUR MINIATURE SEALED",3531,0.5370,5.37,,
5,1856861,YES,,5.0,"MCSR431K07DS","Série:7D; Type de Varistance:Varistance à oxyde métallique (MOV); Pointe de courant de crête à 8/20µs:1200A; Type de boîtier de varistance:Disque 9.5mm; Tension de blocage Max. Vc:710V; Energie tr",34193,0.2790,1.40,,
6,1081232,YES,,100.0,"BC847B,215","NXP-BC847B,215-TRANSISTOR NPN SOT-23",401743,0.0208,2.08,,
7,1864224,YES,,3.0,"MCAP115018077A-561LU","Gamme de produit:Série MCAP; Inductance:560µH; Tolérance d'Inductance:± 15%; Résistance DC max.:0.077ohm; Courant efficace (Irms):10A; Type de packaging:Unitaire; Courant nominal DC:10A; Hau",1384,1.7800,5.34,,
8,2082539,YES,,2.0,"7447075","Gamme de produit:Série WE-FI; Inductance:860µH; Tolérance d'Inductance:± 20%; Résistance DC max.:0.15ohm; Courant efficace (Irms):3A; Type de packaging:Unitaire; SVHC:No SVHC (17-Dec-2014);",121,4.7900,9.58,,
9,2057423,YES,,12.0,"ACS711KLCTR-12AB-T","Courant de repos:4mA; Bande passante:100kHz; Type de boîtier de capteur CI:SOIC; Nombre de broches:8; Tension, alimentation min.:3V; Tension, alimentation max..:5.5V; Température d'uti",Out of Stock,2.3800,28.56,,
10,1453528,YES,,10.0,"0751.0110","SCHURTER-0751.0110-FUSE CLIP, 5X20MM, PCB MOUNT",4067,0.1050,1.05,,
11,1885114,YES,,5.0,"2410SFV8.00FM/125-2","TE CONNECTIVITY / RAYCHEM-2410SFV8.00FM/125-2-FUSIBLE CMS 2410 8A",1910,0.5250,2.63,,
12,2132127,YES,,10.0,"160016/10A","SIBA-160016/10A-FUSIBLE 10A 250V RETARDE 4.5X8MM",1080,1.2900,12.90,,
13,2432676RL,YES,,150.0,"BAS 21-03W E6327","Courant, If moy.:250mA; Tension, Vrrm:200V; Tension, Vf max..:1.25V; Temps trr max.:50ns; Courant, Ifs max.:-; Température de fonctionnement max..:150°C; Type de boîtier de diode:SOD-323; No",22705,0.0200,3.00,,
14,2251459,YES,,50.0,"VLMB1300-GS08","Taille de l'ampoule:-; Couleur de LED:Bleu; Intensité lumineuse:180mcd; Angle, vision:130°; Courant, direct, If:20mA; Tension, direct à  If:3.8V; Montage LED:CMS; Forme de lentille:Rectangula",3231,0.0988,4.94,,

,,,,,,,Sous-total,127.30
,,,,,,,Total des marchandises,127.30
,,,,,,,Livraison de base,0.00
,,,,,,,TVA,Unknown
,,,,,,,Total,127.30
